id,cycle,T24,T30,T50,P15,P30,Nf,Nc,Ps30,phi,NRf,NRc,BPR,htBleed,W31,W32,RUL,WC,time_id,time_id_back
1.0,26.0,642.37,1585.26,1398.77,21.6,554.79,2387.98,9065.37,47.28,522.06,2388.02,8150.15,8.3937,392.0,38.93,23.3681,233.0,0,26.0,234.0
1.0,27.0,642.12,1582.77,1400.16,21.61,554.18,2387.98,9065.21,47.33,522.08,2388.03,8148.77,8.4132,390.0,39.06,23.3763,232.0,0,27.0,233.0
1.0,28.0,643.01,1578.4,1400.24,21.61,554.66,2387.99,9055.81,47.17,522.19,2388.04,8149.12,8.4243,391.0,39.02,23.4666,231.0,0,28.0,232.0
1.0,29.0,642.04,1587.5,1393.05,21.61,554.1,2387.97,9068.18,47.22,521.81,2388.01,8153.95,8.4001,393.0,39.04,23.4538,230.0,0,29.0,231.0
1.0,30.0,642.53,1586.99,1396.67,21.6,554.78,2388.03,9068.92,47.34,522.45,2387.97,8149.55,8.4513,392.0,39.12,23.4103,229.0,0,30.0,230.0
1.0,31.0,642.32,1586.13,1397.47,21.61,553.71,2387.95,9063.81,47.24,522.35,2388.01,8150.74,8.3766,390.0,39.2,23.4302,228.0,0,31.0,229.0
1.0,32.0,642.11,1587.7,1392.44,21.61,555.28,2388.03,9066.15,47.17,522.72,2387.96,8151.57,8.4155,391.0,39.02,23.3631,227.0,0,32.0,228.0
1.0,33.0,642.49,1579.54,1399.94,21.61,554.2,2388.0,9059.84,47.27,521.95,2388.0,8154.7,8.4126,392.0,39.16,23.4065,226.0,0,33.0,227.0
1.0,34.0,642.21,1586.42,1403.41,21.61,554.28,2387.96,9068.03,47.47,522.03,2388.02,8146.6,8.4218,391.0,39.02,23.4787,225.0,0,34.0,226.0
1.0,35.0,641.8,1590.74,1396.33,21.61,553.75,2388.03,9069.69,47.55,522.09,2388.02,8148.97,8.4268,392.0,38.9,23.2894,224.0,0,35.0,225.0
1.0,36.0,642.45,1581.86,1395.89,21.61,554.85,2388.02,9067.31,47.32,522.22,2388.03,8146.41,8.4141,393.0,38.91,23.5297,223.0,0,36.0,224.0
1.0,37.0,642.06,1588.99,1396.98,21.61,554.82,2387.95,9073.55,47.33,522.58,2388.02,8151.59,8.3305,393.0,39.03,23.4539,222.0,0,37.0,223.0
1.0,38.0,642.49,1588.71,1401.57,21.61,555.03,2388.01,9071.77,47.3,522.62,2387.98,8148.72,8.3718,392.0,38.83,23.4252,221.0,0,38.0,222.0
1.0,39.0,641.6,1578.79,1400.48,21.61,554.31,2388.02,9074.51,47.19,522.26,2387.99,8155.39,8.4005,392.0,38.91,23.3543,220.0,0,39.0,221.0
1.0,40.0,642.22,1583.9,1395.26,21.61,554.51,2387.96,9069.77,47.24,522.47,2388.02,8150.31,8.3948,394.0,38.94,23.4083,219.0,0,40.0,220.0
1.0,41.0,641.96,1582.54,1400.72,21.6,554.61,2387.97,9072.56,47.32,522.45,2387.97,8151.32,8.3559,392.0,39.07,23.3239,218.0,0,41.0,219.0
1.0,42.0,642.06,1584.71,1403.21,21.61,554.31,2388.0,9071.68,47.26,522.2,2387.97,8148.7,8.4148,392.0,38.86,23.4382,217.0,0,42.0,218.0
1.0,43.0,642.71,1581.49,1399.38,21.61,553.96,2387.96,9072.52,47.1,522.42,2387.98,8144.75,8.4327,392.0,39.14,23.4357,216.0,0,43.0,217.0
1.0,44.0,642.69,1585.54,1407.66,21.61,552.85,2387.99,9068.1,47.26,522.78,2387.94,8149.9,8.4334,389.0,39.17,23.3515,215.0,0,44.0,216.0
1.0,45.0,642.56,1584.23,1407.95,21.61,554.23,2387.96,9066.98,47.17,522.56,2387.98,8153.01,8.4343,391.0,39.01,23.3131,214.0,0,45.0,215.0
1.0,46.0,642.02,1582.9,1400.5,21.61,554.61,2388.06,9071.26,47.21,522.04,2388.04,8145.17,8.4268,392.0,38.88,23.5009,213.0,0,46.0,214.0
1.0,47.0,642.6,1592.1,1398.26,21.61,554.11,2388.01,9073.71,47.28,522.03,2387.97,8150.46,8.3755,392.0,39.14,23.269,212.0,0,47.0,213.0
1.0,48.0,642.44,1583.27,1399.17,21.61,554.16,2388.02,9066.97,47.27,522.29,2388.04,8150.94,8.3998,394.0,39.02,23.3188,211.0,0,48.0,212.0
1.0,49.0,642.37,1586.75,1393.83,21.61,553.91,2388.04,9076.18,47.28,521.94,2388.01,8149.51,8.3804,390.0,38.92,23.3822,210.0,0,49.0,211.0
1.0,50.0,642.41,1590.26,1398.51,21.61,554.27,2387.98,9068.53,47.08,522.01,2388.04,8148.25,8.4073,392.0,38.97,23.3748,209.0,0,50.0,210.0
1.0,51.0,642.2,1587.71,1390.26,21.61,554.71,2387.99,9067.59,47.21,522.4,2387.98,8153.0,8.3567,391.0,38.9,23.4784,208.0,0,51.0,209.0
1.0,52.0,642.61,1583.3,1403.78,21.61,554.09,2387.97,9063.21,47.24,521.69,2387.93,8150.07,8.3914,391.0,38.97,23.3179,207.0,0,52.0,208.0
1.0,53.0,642.45,1583.03,1400.06,21.61,553.12,2388.03,9064.82,47.34,522.4,2388.04,8150.1,8.411,391.0,38.91,23.439,206.0,0,53.0,207.0
1.0,54.0,642.48,1584.68,1406.3,21.61,554.8,2388.03,9068.35,47.22,522.28,2388.04,8145.58,8.4074,392.0,38.99,23.4086,205.0,0,54.0,206.0
1.0,55.0,642.25,1587.23,1401.26,21.61,554.56,2388.01,9066.05,47.12,522.42,2388.02,8150.6,8.4106,391.0,38.93,23.4395,204.0,0,55.0,205.0
1.0,56.0,642.79,1585.25,1396.05,21.6,554.24,2388.01,9067.08,47.07,522.67,2388.03,8148.37,8.4308,394.0,38.96,23.4014,203.0,0,56.0,204.0
1.0,57.0,642.47,1586.13,1396.03,21.61,554.29,2387.97,9074.48,47.11,522.14,2387.99,8148.7,8.3816,391.0,39.0,23.4644,202.0,0,57.0,203.0
1.0,58.0,641.98,1587.55,1402.61,21.61,553.84,2387.98,9068.44,47.17,521.89,2388.05,8148.44,8.4089,393.0,39.2,23.353,201.0,0,58.0,202.0
1.0,59.0,642.01,1589.14,1405.41,21.61,554.48,2387.96,9066.73,47.24,522.84,2388.01,8151.41,8.4339,393.0,38.98,23.4888,200.0,0,59.0,201.0
1.0,60.0,642.52,1578.91,1406.32,21.61,554.16,2388.03,9069.03,47.31,522.32,2387.98,8148.29,8.3837,392.0,38.99,23.3179,199.0,0,60.0,200.0
1.0,61.0,641.97,1584.13,1400.11,21.61,554.09,2388.01,9075.7,47.23,522.28,2387.98,8152.04,8.3578,391.0,39.19,23.4228,198.0,0,61.0,199.0
1.0,62.0,642.47,1593.91,1397.99,21.61,554.15,2388.04,9067.62,47.25,522.33,2388.02,8150.95,8.4285,390.0,38.91,23.3841,197.0,0,62.0,198.0
1.0,63.0,641.82,1583.91,1403.75,21.61,554.73,2388.01,9065.3,47.32,522.76,2388.04,8151.24,8.3982,391.0,38.98,23.4328,196.0,0,63.0,197.0
1.0,64.0,642.49,1589.38,1399.53,21.61,554.89,2388.0,9072.87,47.34,522.81,2387.98,8146.73,8.4168,391.0,38.92,23.3717,195.0,0,64.0,196.0
1.0,65.0,642.15,1589.05,1391.23,21.61,554.01,2387.96,9068.0,47.31,522.59,2387.97,8153.43,8.398,391.0,39.07,23.4992,194.0,0,65.0,195.0
1.0,66.0,642.16,1586.02,1397.9,21.61,554.5,2387.97,9072.46,47.36,521.68,2387.99,8147.89,8.4487,391.0,39.03,23.2868,193.0,0,66.0,194.0
1.0,67.0,642.01,1585.57,1399.69,21.61,554.3,2388.03,9072.09,47.36,521.77,2388.03,8152.11,8.4355,391.0,38.79,23.2883,192.0,0,67.0,193.0
1.0,68.0,642.07,1580.92,1401.99,21.61,554.2,2388.04,9072.69,47.35,521.81,2387.95,8142.59,8.4185,391.0,38.97,23.4363,191.0,0,68.0,192.0
1.0,69.0,642.88,1589.68,1399.78,21.61,553.99,2388.05,9068.54,47.11,522.55,2388.05,8153.08,8.4486,392.0,39.07,23.3217,190.0,0,69.0,191.0
1.0,70.0,642.34,1591.65,1401.42,21.61,554.43,2388.02,9071.32,47.26,522.22,2388.05,8148.04,8.4294,393.0,39.14,23.3813,189.0,0,70.0,190.0
1.0,71.0,642.58,1583.72,1397.76,21.61,553.97,2388.03,9073.21,47.19,522.21,2387.98,8145.76,8.4168,391.0,39.13,23.4798,188.0,0,71.0,189.0
1.0,72.0,641.91,1582.17,1402.51,21.61,554.38,2388.02,9076.78,47.26,522.23,2388.06,8144.3,8.4528,392.0,39.04,23.3875,187.0,0,72.0,188.0
1.0,73.0,642.02,1586.87,1397.72,21.61,554.42,2388.04,9073.4,47.34,522.23,2388.03,8148.12,8.4825,393.0,39.05,23.3951,186.0,0,73.0,187.0
1.0,74.0,641.86,1583.99,1399.91,21.61,554.14,2388.01,9065.14,47.22,522.22,2388.01,8151.44,8.428,393.0,39.02,23.3814,185.0,0,74.0,186.0
1.0,75.0,642.22,1587.16,1396.3,21.61,553.64,2388.0,9064.8,47.19,522.32,2387.98,8150.37,8.3836,393.0,39.02,23.4318,184.0,0,75.0,185.0
1.0,76.0,642.85,1586.17,1400.01,21.61,554.37,2387.98,9068.07,47.15,522.64,2388.02,8155.63,8.4061,392.0,38.77,23.3529,183.0,0,76.0,184.0
1.0,77.0,642.02,1581.99,1399.58,21.61,554.14,2388.0,9070.8,47.29,521.91,2388.08,8148.31,8.3727,391.0,38.96,23.3415,182.0,0,77.0,183.0
1.0,78.0,642.86,1578.35,1400.19,21.61,554.23,2388.01,9074.23,47.22,522.15,2388.09,8153.43,8.4288,391.0,38.88,23.4148,181.0,0,78.0,182.0
1.0,79.0,642.03,1583.5,1400.42,21.61,553.98,2388.02,9070.53,47.08,522.01,2388.03,8150.68,8.3895,391.0,38.99,23.4047,180.0,0,79.0,181.0
1.0,80.0,641.53,1586.62,1393.1,21.61,554.63,2388.01,9067.76,47.22,521.93,2387.98,8153.0,8.408,393.0,38.85,23.458,179.0,0,80.0,180.0
1.0,81.0,642.13,1581.98,1402.49,21.61,553.72,2388.02,9070.82,47.02,522.32,2388.06,8153.66,8.4433,394.0,38.94,23.4212,178.0,0,81.0,179.0
1.0,82.0,642.55,1587.08,1402.42,21.61,554.5,2388.02,9064.56,47.19,522.19,2388.05,8151.48,8.4196,393.0,39.12,23.3853,177.0,0,82.0,178.0
1.0,83.0,641.85,1587.23,1401.86,21.61,555.2,2388.01,9063.6,47.25,521.93,2388.04,8152.49,8.3843,393.0,39.0,23.3097,176.0,0,83.0,177.0
1.0,84.0,641.94,1585.55,1398.99,21.61,554.75,2388.03,9066.72,47.27,521.97,2388.07,8153.01,8.3854,390.0,38.98,23.3584,175.0,0,84.0,176.0
1.0,85.0,642.57,1587.23,1399.21,21.61,553.87,2388.02,9070.36,47.43,522.11,2388.04,8149.97,8.4385,395.0,38.96,23.4284,174.0,0,85.0,175.0
1.0,86.0,642.07,1590.38,1403.18,21.61,554.77,2388.02,9065.76,47.34,522.02,2387.96,8145.53,8.4299,393.0,38.88,23.4409,173.0,0,86.0,174.0
1.0,87.0,642.27,1584.76,1399.41,21.61,553.7,2388.05,9066.48,47.46,521.75,2388.05,8155.21,8.4388,392.0,39.02,23.4712,172.0,0,87.0,173.0
1.0,88.0,641.46,1587.88,1396.91,21.61,553.85,2387.99,9067.25,47.23,522.05,2388.01,8145.17,8.4211,392.0,39.08,23.3099,171.0,0,88.0,172.0
1.0,89.0,642.67,1593.73,1406.77,21.61,555.48,2388.06,9069.17,47.18,522.79,2388.02,8149.34,8.4099,392.0,38.88,23.4671,170.0,0,89.0,171.0
1.0,90.0,642.33,1581.98,1398.82,21.61,554.22,2388.03,9077.2,47.34,522.08,2387.99,8153.72,8.3848,392.0,39.03,23.3154,169.0,0,90.0,170.0
1.0,91.0,642.58,1592.53,1406.11,21.61,554.64,2388.02,9063.78,47.37,522.34,2388.05,8144.94,8.3901,394.0,38.92,23.3784,168.0,0,91.0,169.0
1.0,92.0,641.88,1587.25,1398.36,21.61,553.74,2388.0,9076.64,47.32,522.04,2387.98,8140.49,8.3986,393.0,38.92,23.3472,167.0,0,92.0,168.0
1.0,93.0,642.59,1581.57,1403.57,21.61,554.65,2388.05,9074.6,47.43,522.15,2388.0,8152.64,8.3652,392.0,38.95,23.3151,166.0,0,93.0,167.0
1.0,94.0,642.7,1585.22,1394.97,21.6,554.19,2387.97,9071.37,47.09,522.4,2388.02,8151.88,8.3962,392.0,38.9,23.247,165.0,0,94.0,166.0
1.0,95.0,642.8,1577.32,1406.0,21.61,554.29,2388.02,9067.45,47.31,522.18,2388.02,8150.69,8.4321,392.0,38.93,23.3817,164.0,0,95.0,165.0
1.0,96.0,642.12,1587.08,1398.42,21.61,553.97,2388.04,9066.45,47.36,522.14,2388.05,8152.69,8.4205,393.0,38.78,23.4411,163.0,0,96.0,164.0
1.0,97.0,642.22,1584.55,1388.13,21.61,554.57,2388.07,9066.66,47.45,522.43,2388.05,8145.15,8.4114,392.0,38.85,23.363,162.0,0,97.0,163.0
1.0,98.0,642.17,1583.35,1402.22,21.61,553.88,2388.1,9069.55,47.34,522.14,2388.02,8152.62,8.4121,393.0,39.08,23.4234,161.0,0,98.0,162.0
1.0,99.0,642.83,1584.77,1402.31,21.61,554.0,2388.04,9070.04,47.22,522.13,2388.08,8153.16,8.4409,393.0,38.93,23.3767,160.0,0,99.0,161.0
1.0,100.0,642.11,1582.26,1402.79,21.61,553.71,2388.01,9065.77,47.52,521.92,2387.99,8151.54,8.4052,392.0,39.09,23.382,159.0,0,100.0,160.0
1.0,101.0,642.62,1586.4,1400.24,21.61,554.66,2388.01,9074.03,47.21,522.16,2388.01,8150.24,8.4032,391.0,38.89,23.4552,158.0,0,101.0,159.0
1.0,102.0,642.22,1588.28,1397.95,21.61,554.91,2387.99,9069.34,47.25,522.27,2388.04,8153.3,8.4182,392.0,38.94,23.3971,157.0,0,102.0,158.0
1.0,103.0,642.34,1591.43,1406.51,21.61,553.81,2388.05,9067.41,47.33,522.1,2388.04,8154.51,8.4188,391.0,38.81,23.3743,156.0,0,103.0,157.0
1.0,104.0,643.15,1586.31,1411.1,21.61,554.11,2388.04,9070.45,47.26,522.14,2388.05,8145.98,8.4575,393.0,38.88,23.3193,155.0,0,104.0,156.0
1.0,105.0,642.55,1587.12,1395.09,21.61,554.26,2388.01,9063.92,47.38,522.1,2388.09,8147.9,8.3883,391.0,38.97,23.3032,154.0,0,105.0,155.0
1.0,106.0,641.93,1590.93,1401.75,21.61,553.8,2388.05,9068.46,47.28,521.92,2388.02,8151.28,8.4153,394.0,38.93,23.3787,153.0,0,106.0,154.0
1.0,107.0,642.38,1588.34,1399.31,21.61,554.27,2388.08,9065.94,47.22,521.95,2388.03,8150.44,8.4068,393.0,38.9,23.28,152.0,0,107.0,153.0
1.0,108.0,642.56,1590.93,1405.54,21.61,554.16,2388.02,9070.22,47.14,521.95,2388.0,8148.54,8.4414,392.0,39.08,23.2983,151.0,0,108.0,152.0
1.0,109.0,642.37,1585.91,1397.9,21.61,554.55,2388.05,9076.76,47.25,522.39,2387.99,8152.41,8.4594,392.0,39.01,23.3321,150.0,0,109.0,151.0
1.0,110.0,642.12,1591.36,1400.32,21.61,553.78,2387.99,9070.15,47.32,521.86,2388.04,8149.36,8.434,393.0,39.04,23.3809,149.0,0,110.0,150.0
1.0,111.0,642.06,1587.4,1404.63,21.61,554.03,2387.98,9073.24,47.19,522.25,2388.01,8148.14,8.4093,392.0,38.93,23.3339,148.0,0,111.0,149.0
1.0,112.0,641.88,1589.21,1401.82,21.61,553.84,2388.08,9066.34,47.15,522.62,2388.02,8148.53,8.4442,393.0,38.97,23.4569,147.0,0,112.0,148.0
1.0,113.0,642.44,1590.94,1395.41,21.6,553.42,2388.04,9070.28,47.4,522.12,2388.06,8150.81,8.4016,392.0,38.87,23.3987,146.0,0,113.0,147.0
1.0,114.0,642.79,1585.1,1395.27,21.61,554.29,2388.06,9072.94,47.25,521.97,2388.0,8150.61,8.387,393.0,39.13,23.2932,145.0,0,114.0,146.0
1.0,115.0,642.25,1580.37,1398.26,21.61,554.09,2388.02,9062.33,47.39,521.25,2388.07,8145.35,8.3845,393.0,38.95,23.3343,144.0,0,115.0,145.0
1.0,116.0,642.39,1581.54,1398.96,21.61,554.13,2387.98,9074.77,47.39,522.16,2388.02,8150.0,8.4266,393.0,38.98,23.3836,143.0,0,116.0,144.0
1.0,117.0,642.77,1581.85,1407.21,21.61,553.83,2388.05,9067.42,47.26,521.47,2388.04,8148.83,8.4409,391.0,39.2,23.3679,142.0,0,117.0,143.0
1.0,118.0,642.38,1590.7,1407.58,21.61,554.57,2388.05,9070.1,47.12,521.79,2388.07,8147.31,8.4276,392.0,39.1,23.2054,141.0,0,118.0,142.0
1.0,119.0,641.92,1583.7,1398.14,21.61,554.05,2388.03,9074.14,47.38,521.82,2388.02,8146.92,8.4109,391.0,38.8,23.3515,140.0,0,119.0,141.0
1.0,120.0,642.02,1581.83,1400.56,21.61,553.81,2388.06,9070.68,47.32,522.88,2388.03,8142.08,8.4025,393.0,38.99,23.385,139.0,0,120.0,140.0
1.0,121.0,642.0,1592.55,1403.78,21.61,554.57,2388.03,9070.67,47.46,522.08,2388.09,8152.13,8.4357,392.0,38.91,23.4777,138.0,0,121.0,139.0
1.0,122.0,642.68,1583.31,1399.1,21.61,554.54,2388.04,9071.18,47.35,521.76,2388.04,8149.74,8.4101,392.0,39.02,23.2968,137.0,0,122.0,138.0
1.0,123.0,642.72,1578.55,1405.78,21.61,554.1,2388.05,9059.14,47.29,522.51,2388.06,8149.56,8.4197,392.0,38.91,23.3678,136.0,0,123.0,137.0
1.0,124.0,642.17,1583.66,1406.43,21.61,554.0,2388.07,9072.01,47.3,521.94,2387.98,8150.29,8.4481,393.0,38.93,23.3135,135.0,0,124.0,136.0
1.0,125.0,642.19,1583.56,1399.43,21.61,553.71,2387.99,9074.78,47.21,522.01,2388.08,8153.68,8.4342,393.0,38.97,23.3991,134.0,0,125.0,135.0
1.0,126.0,642.26,1595.19,1404.39,21.61,553.84,2388.05,9070.17,47.1,521.93,2388.07,8153.36,8.4001,391.0,39.0,23.4191,133.0,0,126.0,134.0
1.0,127.0,641.81,1582.25,1395.27,21.61,554.69,2388.0,9074.2,47.17,522.35,2388.0,8150.9,8.4375,392.0,38.7,23.457,132.0,0,127.0,133.0
1.0,128.0,642.35,1591.2,1411.85,21.61,553.28,2388.08,9070.85,47.34,521.8,2388.05,8150.25,8.434,393.0,39.07,23.3822,131.0,0,128.0,132.0
1.0,129.0,641.84,1582.27,1404.35,21.61,553.78,2388.06,9074.18,47.37,522.36,2388.0,8151.73,8.3959,392.0,38.81,23.4251,130.0,0,129.0,131.0
1.0,130.0,641.77,1581.08,1397.31,21.61,553.87,2388.07,9068.57,47.33,521.88,2388.01,8153.68,8.422,393.0,38.94,23.4846,129.0,0,130.0,130.0
1.0,131.0,642.25,1589.4,1405.04,21.61,554.12,2388.05,9068.18,47.36,522.23,2388.04,8148.07,8.4194,392.0,38.95,23.403,128.0,0,131.0,129.0
1.0,132.0,642.97,1585.96,1401.33,21.61,553.52,2388.08,9072.78,47.33,521.43,2388.06,8146.93,8.4365,392.0,38.88,23.3906,127.0,0,132.0,128.0
1.0,133.0,642.46,1590.51,1399.09,21.61,554.34,2388.01,9067.29,47.45,521.61,2388.03,8148.82,8.4134,393.0,39.07,23.3643,126.0,0,133.0,127.0
1.0,134.0,642.05,1589.92,1411.38,21.61,554.25,2388.02,9076.24,47.31,521.52,2388.03,8146.55,8.418,392.0,38.94,23.3354,125.0,0,134.0,126.0
1.0,135.0,642.95,1588.93,1403.46,21.61,553.6,2388.02,9076.78,47.37,522.05,2388.03,8151.44,8.4089,392.0,38.92,23.4502,124.0,0,135.0,125.0
1.0,136.0,642.57,1594.07,1393.69,21.61,553.77,2388.03,9076.89,47.15,522.27,2388.03,8154.81,8.4489,392.0,38.99,23.3221,123.0,0,136.0,124.0
1.0,137.0,642.62,1587.92,1402.91,21.61,554.15,2388.07,9070.17,47.45,521.49,2388.05,8151.5,8.4177,392.0,38.83,23.4102,122.0,0,137.0,123.0
1.0,138.0,642.22,1579.91,1402.44,21.61,553.87,2388.04,9077.92,47.38,521.82,2387.98,8148.54,8.4244,393.0,39.0,23.3819,121.0,0,138.0,122.0
1.0,139.0,642.71,1583.7,1405.36,21.61,554.23,2388.07,9063.29,47.5,521.87,2388.03,8149.02,8.4589,394.0,38.91,23.4228,120.0,0,139.0,121.0
1.0,140.0,642.37,1586.7,1408.26,21.61,553.84,2388.05,9065.56,47.4,521.95,2388.01,8150.7,8.4018,393.0,38.97,23.345,119.0,0,140.0,120.0
1.0,141.0,642.54,1588.67,1397.95,21.61,553.58,2388.07,9062.91,47.46,521.23,2388.1,8149.38,8.4207,393.0,38.83,23.2708,118.0,0,141.0,119.0
1.0,142.0,642.48,1581.89,1402.66,21.61,553.29,2388.02,9064.41,47.35,521.72,2388.1,8152.46,8.4269,393.0,38.91,23.3837,117.0,0,142.0,118.0
1.0,143.0,642.5,1590.96,1407.99,21.61,554.04,2388.06,9059.11,47.28,521.81,2388.01,8149.28,8.3876,394.0,38.99,23.311,116.0,0,143.0,117.0
1.0,144.0,642.01,1588.74,1406.16,21.61,553.22,2388.09,9074.62,47.62,521.69,2388.01,8152.5,8.4126,393.0,38.82,23.3992,115.0,0,144.0,116.0
1.0,145.0,643.07,1583.36,1408.15,21.61,553.56,2388.0,9076.42,47.51,521.39,2387.99,8150.89,8.4365,394.0,38.81,23.3765,114.0,0,145.0,115.0
1.0,146.0,642.43,1582.73,1410.11,21.61,553.44,2388.09,9073.48,47.41,521.12,2388.11,8153.12,8.4453,391.0,39.05,23.3544,113.0,0,146.0,114.0
1.0,147.0,643.09,1597.53,1402.72,21.61,554.06,2388.04,9071.38,47.32,521.91,2388.01,8153.38,8.4449,393.0,39.04,23.2939,112.0,0,147.0,113.0
1.0,148.0,642.43,1583.8,1401.2,21.61,554.34,2388.05,9071.09,47.45,521.69,2388.04,8150.68,8.4132,393.0,39.02,23.4205,111.0,0,148.0,112.0
1.0,149.0,642.74,1585.97,1405.27,21.61,554.24,2388.04,9075.79,47.25,521.87,2388.02,8148.22,8.4446,394.0,38.7,23.3524,110.0,0,149.0,111.0
1.0,150.0,642.27,1589.89,1409.08,21.61,554.29,2388.04,9072.24,47.28,521.53,2388.05,8151.42,8.3973,393.0,38.79,23.3416,109.0,0,150.0,110.0
1.0,151.0,642.36,1596.85,1404.4,21.61,553.56,2388.09,9069.0,47.4,522.18,2388.05,8154.36,8.434,392.0,38.77,23.3903,108.0,0,151.0,109.0
1.0,152.0,642.48,1586.24,1403.1,21.61,553.81,2388.09,9071.91,47.33,521.63,2388.05,8147.95,8.4372,392.0,38.7,23.2683,107.0,0,152.0,108.0
1.0,153.0,642.81,1587.78,1403.82,21.61,553.38,2388.04,9072.99,47.75,522.2,2388.0,8150.98,8.4499,393.0,38.89,23.2798,106.0,0,153.0,107.0
1.0,154.0,642.42,1593.24,1398.66,21.61,553.39,2388.12,9073.14,47.34,522.04,2388.07,8152.92,8.4247,392.0,38.89,23.3212,105.0,0,154.0,106.0
